id,rival_id,rival_name,launch_date,category,feature_name,description,source_url
274a8d83-1025-557a-9425-2c2547a8de13,cc12ac7f-f1fb-505c-b341-4b81f8b48499,Trip.com Group,2023-07-25,GenAI assistant,TripGenie AI travel assistant,"Upgraded conversational AI assistant supporting text/voice queries, image responses and trip planning, built on Trip.com's own LLM stack.",https://www.trip.com/newsroom/introducing-tripgenie-groundbreaking-ai-travel-assistant/
4d4fb6bc-fce7-550d-bee0-4938372802a5,cc12ac7f-f1fb-505c-b341-4b81f8b48499,Trip.com Group,2023-07-25,Other AI,Wendao large language model,Trip.com unveiled its own travel-specific LLM 'Wendao' trained on 20 billion travel-relevant data points to underpin its AI products.,https://www.scmp.com/tech/big-tech/article/3228128/chinas-largest-online-travel-company-tripcom-group-creates-own-large-language-model-wendao-push-ai
ab60d49a-4149-5bef-b11a-401613dc526e,cc12ac7f-f1fb-505c-b341-4b81f8b48499,Trip.com Group,2024-12-19,Other AI,AI Menu Assistant,"TripGenie added an AI menu assistant that translates and explains foreign restaurant menus via photo input, plus real-time voice translation.",https://www.webintravel.com/ai-at-hyperspeed-tripgenie-goes-multi-modal-launches-live-translation/
0b2d1cc1-50cf-5809-99cd-1cad21d006f6,cc12ac7f-f1fb-505c-b341-4b81f8b48499,Trip.com Group,2025-01-09,Personalization,Context-aware Trip.com Widget,"Revamped iOS/Android widget offering AI-driven, context-aware recommendations based on trip phase.",https://www.webintravel.com/ai-at-hyperspeed-tripgenie-goes-multi-modal-launches-live-translation/
05fddee5-1076-5aac-b8e3-da7cfe4e554a,11295560-66c5-5384-afe6-c98919491751,Airbnb,2023-11-14,Other AI,GamePlanner.AI acquisition for AI roadmap,Airbnb acquired GamePlanner.AI (founded by Siri co-creator Adam Cheyer) for ~$200M to accelerate AI projects and concierge-like interface.,https://news.airbnb.com/airbnb-has-acquired-gameplanner-ai/
7fc971ae-3f63-5781-8b58-d7fda4175d80,11295560-66c5-5384-afe6-c98919491751,Airbnb,2025-05-02,Customer service AI,AI customer service agent (US rollout),"Airbnb began quietly rolling out an AI customer support agent in the US, handling refunds, booking changes and account issues across 13 models.",https://techcrunch.com/2025/05/02/airbnb-is-quietly-rolling-out-an-ai-customer-service-bot-in-the-us/
2797eba6-bf40-5c45-97b2-dbf807f32b4b,11295560-66c5-5384-afe6-c98919491751,Airbnb,2026-05-20,GenAI assistant,AI-powered host onboarding and review summaries,"Summer 2026 release added AI auto-fill for listing details from an address, plus AI-generated guest review summaries with category tags.",https://techcrunch.com/2026/05/20/airbnb-gets-into-hotels-expands-ai-for-host-onboarding-and-customer-support/
ab919286-3c30-5d72-82fb-8188ba1396e0,2452466d-d20d-5598-9e01-323d8bf1170d,Agoda,2023-01-01,Content generation,GenAI content and review summaries (internal),Agoda began deploying generative AI internally in 2023 for hotel content generation and review summaries; teams launched 119 GenAI applications that year.,https://medium.com/agoda-engineering/a-retrospective-agodas-genai-journey-thus-far-b0739683d53e
acee9e70-6e74-5b4f-8270-d251bb5db6ee,2452466d-d20d-5598-9e01-323d8bf1170d,Agoda,2025-08-25,Content generation,Next-gen AI Image Enhancement,"Agoda deployed a Content Enhancement Tool using ML/AI to upscale, deduplicate and re-rank 450M+ property images across 6M listings.",https://www.prnewswire.com/apac/news-releases/agoda-elevates-listings-with-next-gen-ai-image-enhancement-302538237.html
2f114188-0e14-51ac-94ba-f78676406f58,2452466d-d20d-5598-9e01-323d8bf1170d,Agoda,2024-06-01,GenAI assistant,Property page Q&A chatbot,Agoda rolled out an in-funnel property Q&A chatbot using GenAI to answer specific guest questions about hotels and inform filter design.,https://www.phocuswire.com/Agoda-human-approach-to-learning-and-growing-with-AI
fc967971-b4b6-5233-89f3-a7b7975a7cc2,ebf7afd6-c830-5c7d-8029-6ed8d1c5f604,Kayak,2023-03-23,GenAI assistant,Kayak ChatGPT plugin,"Kayak became one of the launch partners for OpenAI's ChatGPT plugin program, letting users search flights, hotels and cars conversationally.",https://www.kayak.com/news/kayak-chatgpt/
45f63a05-8a5b-5cd2-a32e-016ae4a870bd,ebf7afd6-c830-5c7d-8029-6ed8d1c5f604,Kayak,2023-04-01,GenAI assistant,PriceCheck AI photo tool,Kayak's PriceCheck feature lets travelers upload screenshots of competing fares for the AI to verify and find cheaper alternatives.,https://www.travelweekly.com/Travel-News/Travel-Technology/Kayak-launches-a-ChatGPT-plug-in
0b06f40d-21e7-5094-be82-f13178c09e05,431daa8c-aab9-5a18-a7e3-abf2f5bc1a08,Traveloka,2024-07-01,Personalization,Traveloka 5.0 AI-powered platform,"Major platform refresh featuring AI-driven search, personalized recommendations and AI-powered discovery feed targeting non-travel bookings.",https://www.traveloka.com/en-id/explore/news/traveloka-marks-over-a-decade-of-innovation-with-exclusive-birthday-sale-for-millions-worldwide/506901
8ab81d84-7304-5ea8-bf2f-b69c90c0f641,431daa8c-aab9-5a18-a7e3-abf2f5bc1a08,Traveloka,2024-01-01,ML pricing,AI-driven airline partner optimization,"Traveloka leveraged AI/ML for real-time price updates, dynamic pricing and predictive analytics to boost airline-partner conversion.",https://www.eplaneai.com/news/traveloka-harnesses-ai-to-boost-airline-partnerships
365bc9b9-e74d-5595-916d-e4287d4bcf3b,6b72fa12-27d2-5a3f-b278-bcf2c4f0dff0,MakeMyTrip,2024-09-01,GenAI assistant,Myra AI travel planner (beta),"AI-powered multilingual trip-planning assistant supporting voice/text in English, Hindi and Hinglish; later expanded to 8 Indian languages.",https://www.deccanherald.com/business/companies/makemytrip-boosts-ai-travel-assistant-myra-to-handle-full-travel-bookings-4003970
d7cea7b1-547d-57ae-a007-ca678acc1e21,6b72fa12-27d2-5a3f-b278-bcf2c4f0dff0,MakeMyTrip,2026-02-18,GenAI assistant,OpenAI collaboration powering Myra,Strategic AI partnership using OpenAI APIs to power conversational booking and high-intent travel discovery inside the Myra interface.,https://www.businesswire.com/news/home/20260217777911/en/MakeMyTrip-Deepens-AI-First-Strategy-with-OpenAI-Collaboration
3eaf6671-129a-5a5e-8d4d-603507ee44f4,6b72fa12-27d2-5a3f-b278-bcf2c4f0dff0,MakeMyTrip,2026-05-01,GenAI assistant,Myra 2.0 end-to-end voice booking,Major Myra upgrade enables full voice booking with integrated payments across 8 Indian languages; ~3M conversations per quarter.,https://www.thehansindia.com/business/makemytrip-unveils-myra-20-end-to-end-conversational-travel-booking-assistant-1075926
4cc1a178-3540-5eaf-915e-8833e101ff41,6b72fa12-27d2-5a3f-b278-bcf2c4f0dff0,MakeMyTrip,2026-03-01,GenAI assistant,Mastercard 'Lifestyle Navigator' x Myra,Mastercard chose India and MakeMyTrip's Myra to introduce its global AI-powered concierge service.,https://www.mastercard.com/news/ap/en-in/newsroom/press-releases/en-in/2026/march/mastercard-selects-india-to-introduce-lifestyle-navigator-its-global-ai-powered-concierge-in-collaboration-with-makemytrip-s-myra/
b2e06910-dc91-51fb-bd44-d8dbcea44689,4420bc80-12ed-531a-8cda-b7eac6a28387,Klook,2023-11-01,Content generation,Google Cloud GenAI for content localization,Klook tapped Google Cloud's PaLM 2 / Vertex AI to translate and localize merchant listings into 10 languages and power K.AI chatbot.,https://www.klook.com/newsroom/partnership-Google%20Cloud-2023/
8879895c-97f5-52f5-98b7-8b9eeb02e622,4420bc80-12ed-531a-8cda-b7eac6a28387,Klook,2024-10-24,GenAI assistant,K.AI trip planner and shopping guide,"Expanded Google Cloud partnership powering Klook's K.AI chatbot, content generation and AI-driven 'shopping guide' for comparing experiences.",https://www.klook.com/newsroom/partnership-2024-google-cloud/
dc4fe681-83fb-5234-a01e-4d6543b199e9,c0515206-17ea-5d08-9e0c-475f0cb58942,eDreams ODIGEO,2023-05-04,GenAI assistant,Google Cloud GenAI partnership,"eDreams partnered with Google Cloud as a generative-AI trusted tester to build LLM-powered agents across inspiration, booking and service.",https://www.googlecloudpresscorner.com/2023-05-04-eDreams-ODIGEO-to-pioneer-generative-AI-in-ecommerce-with-Google-Cloud
4b5df574-3412-5d86-8c44-3bc0854997a3,c0515206-17ea-5d08-9e0c-475f0cb58942,eDreams ODIGEO,2026-04-22,GenAI assistant,Proprietary AI Trip Planner + ChatGPT app,Launched in-app AI Trip Planner generating day-by-day itineraries and integrated a ChatGPT app for agentic conversational booking.,https://www.edreamsodigeo.com/press-releases/2026/04/edreams-odigeo-further-scales-agentic-ai-ecosystem-by-integrating-conversational-planning-and-immediate-booking-fulfilment/
dc33f95c-ccc3-52cf-b9ad-89a44b32e0e7,276071f8-c093-50ae-91bf-87a2b44b1d8c,Skyscanner,2024-05-17,GenAI assistant,Savvy Search GenAI tool,App-exclusive Savvy Search powered by OpenAI generates up to three curated destination recommendations from natural-language prompts.,https://www.ttgasia.com/2024/05/17/skyscanner-unveils-new-generative-ai-travel-planning-tool/
a3fd4b02-1907-583c-b293-1572444db652,276071f8-c093-50ae-91bf-87a2b44b1d8c,Skyscanner,2026-02-27,GenAI assistant,Skyscanner ChatGPT app for flights,Skyscanner launched a ChatGPT app letting US/UK travelers search live flights in plain language and refine with follow-up messages.,https://www.skyscanner.com/tips-and-inspiration/skyscanner-app-in-chatgpt-launches-for-flights-us
de4e723d-2153-5dfb-a139-91a1a87399ad,7787ea38-d159-5dd9-87c2-0e4f79836427,Yanolja,2024-11-13,Personalization,AI-driven B2B travel platform,"Yanolja revealed AI-driven travel platform serving 150K B2B clients and 30K hotels at Web Summit 2024, with personalized inventory and pricing.",https://www.thepickool.com/yanolja-ai-platform-connects-150k-enterprise-clients-web-summit-2024/
bb11a4af-b20d-5208-a1c5-0fc33157b0ca,7787ea38-d159-5dd9-87c2-0e4f79836427,Yanolja,2025-09-05,Other AI,ChatGPT Enterprise adoption,"First Korean travel platform to adopt OpenAI's ChatGPT Enterprise across operations, supporting product and customer service workflows.",https://www.yanoljagroup.com/en/press_release/view?id=1465
7615cea2-2673-5461-b324-c3621442b347,7787ea38-d159-5dd9-87c2-0e4f79836427,Yanolja,2025-09-05,Customer service AI,Vicker AI and Tella multilingual voice agent,Yanolja NEXT introduced Vicker AI (generates visual lodging content) and Tella (multilingual voice AI handling calls in 20+ languages).,https://www.yanoljagroup.com/en/press_release/view?id=1465
6d3f20d6-d8a3-50f9-a514-a358a66a462c,cc12ac7f-f1fb-505c-b341-4b81f8b48499,Trip.com Group,2024-05-15,GenAI assistant,TripGenie multi-modal expansion,"TripGenie expanded with multi-modal voice/photo input, live translation and broader AI agent reach across 200+ countries.",https://www.webintravel.com/tripgenie-turns-two-expands-ai-capabilities-to-enhance-travel-assistance/
f6134d54-9102-51c6-b400-5e829e545eae,55cb4629-328b-5a3d-b907-7d7f51740deb,Booking.com,2023-06-27,Other AI,OpenAI strategic partnership (vs Google Bard),"Booking publicly chose OpenAI over Google Bard as its GenAI partner, integrating GPT models with proprietary inventory and pricing data.",https://skift.com/2023/06/27/booking-com-chooses-openai-not-google-bard-for-generative-ai-rollout/
59898759-00ae-5306-ad87-ce6f2171b9a9,55cb4629-328b-5a3d-b907-7d7f51740deb,Booking.com,2025-10-06,GenAI assistant,Launch partner for OpenAI Apps SDK,"Booking became a launch partner for OpenAI's Apps SDK, gaining access to 800M weekly active ChatGPT users.",https://openai.com/index/booking-com/
799a1f92-a2ea-58d3-99e3-d08393e8db8f,2ad2aae5-14d6-5546-8470-7beab6ceabb0,Cleartrip,2024-02-07,Other AI,Out of Office corporate AI policy engine,OOO corporate travel tool uses configurable policy/AI engine to manage self-booking and policy adherence across SME and large enterprise clients.,https://www.cleartrip.com/press/releases/2024/cleartrip-charts-a-paradigm-shift-in-corporate-travel-with-the-launch-of-the-new-corporate-travel-management-product-out-of-office-ooo/
a550d372-2666-5213-9a38-5554a69eac08,c37adc7d-7da9-5849-b1ac-16f3a469e780,Yatra.com,2024-01-01,Personalization,AI-driven corporate self-booking platform,Yatra's Corporate Self Booking platform uses AI to personalize fares and policy compliance; positioned for integration into Globe Travels' base.,https://investors.yatra.com/press-releases/press-release-details/2024/Yatra-Doubles-Down-on-Corporate-Travel-with-the-Acquisition-of-Globe-Travels-Solidifying-its-Leadership-Position/default.aspx
361b1f47-6e59-5dad-b63c-97f9a684d82a,f38721ba-a9cf-5f2e-bd0e-1baa54017861,EaseMyTrip,2023-11-01,GenAI assistant,EaseMyTrip ChatGPT-based itinerary tool,EaseMyTrip rolled out a ChatGPT-powered itinerary planner generating personalized recommendations from natural-language prompts.,https://www.easemytrip.com/blog/ai-trip-planner-easemytrip-launches
2a37df01-5391-5478-a94a-332440e811dc,375b8060-54cf-597c-8a5f-f2958eda48a8,Goibibo,2024-09-01,GenAI assistant,Goibibo Gia AI assistant,Goibibo (MakeMyTrip Group) integrated AI/ML chat capabilities for hotel discovery and policy compliance through Myra-derived tech.,https://www.deccanherald.com/business/companies/makemytrip-boosts-ai-travel-assistant-myra-to-handle-full-travel-bookings-4003970
366a938d-bfba-5190-829f-3e32458e8cce,7d12f1d2-a460-5054-a5b4-2c7523f5a68e,Kiwi.com,2023-09-01,Customer service AI,AI-driven customer service enhancements,"Under new CEO Götz Reinhardt, Kiwi.com began leveraging AI for customer service automation and NDC-based flight product offerings.",https://craft.co/kiwi-com/executives
2513470e-3118-5b51-ab0f-50fddd7a15b9,b9dbbd2a-b650-5667-bc3d-2f76892a6367,KKday,2024-12-05,Other AI,AI investment from Series D funding,"Allocated portion of $70M Series D toward AI/R&D projects supporting recommendations, content generation and operational efficiency.",https://e27.co/kkday-lands-us70m-funding-to-bolster-mas-in-asia-pacific-ai-projects-20241205/
0587ea7b-2731-571d-ba02-31ca8ab78382,06bc3d2e-d668-5ff4-b1df-021a2b545e10,Yeogi/GoodChoice,2024-01-01,Personalization,AI-driven accommodation recommendations,GC Company expanded AI personalization in its Yeogi Eottae app to recommend stays based on user behavior and seasonal demand.,https://m.alphabiz.co.kr/news/amp.html?ncode=1065618008620459
8cb414f3-8e1e-57b6-aa2a-6c1d01d148a7,c01c0c90-a2b0-54ee-883d-e6974b08d296,Etraveli Group,2024-06-01,Other AI,PRECISION fraud-risk ML solution,"Etraveli's fintech arm launched PRECISION, an ML-driven payment fraud and risk management solution for online travel transactions.",https://en.wikipedia.org/wiki/Etraveli_Group
977abd98-54fc-58ef-9b1f-c7931b6c57f2,55cb4629-328b-5a3d-b907-7d7f51740deb,Booking.com,2025-04-29,Other AI,OpenAI SME AI Accelerator partnership,"Booking and OpenAI launched a program to train 20,000 European SMEs in applied AI skills for productivity gains.",https://www.phocuswire.com/openai-sme-ai-accelerator-program-launch
0fc05c4b-4665-50d4-a35c-8e90f07bfe4f,6f1fe034-f8e1-533c-8cbe-929e48dd4f06,Expedia Group,2025-10-06,GenAI assistant,Launch partner for OpenAI Apps SDK,"Expedia served as a launch partner for OpenAI's Apps SDK, embedding Expedia search inside ChatGPT for 800M weekly users.",https://openai.com/index/chatgpt-plugins/
d4531390-a66d-5cd4-8a49-bd1dfd58c926,cc12ac7f-f1fb-505c-b341-4b81f8b48499,Trip.com Group,2025-04-01,Trip planning,AI Trip Planner agentic itinerary tool,Trip.com Group unveiled new AI Trip Planner targeting the inspiration and planning phase with end-to-end agentic itinerary creation.,https://www.phocuswire.com/trip-com-group-trip-planner-q2-2025
e0ca5a10-7085-5f49-9ce6-78c20ccb59fd,2452466d-d20d-5598-9e01-323d8bf1170d,Agoda,2024-08-01,Content generation,AI-generated brand film campaigns,Agoda launched AI-generated brand film and personalized ad campaigns (e.g. featuring Ayushmann Khurrana) using GenAI creative tools.,https://www.marketing-interactive.com/agoda-ai-generated-film-celebrate-global-exploration
2f0928de-855c-5121-903c-ac582e16d851,55cb4629-328b-5a3d-b907-7d7f51740deb,Booking.com,2024-04-09,Personalization,AI Trip Planner update with proactive itineraries,"Booking.com refreshed its AI Trip Planner with proactive itinerary building, broader markets, and deeper integration with bookings.",https://skift.com/2024/10/30/booking-coms-ai-trip-planner-got-a-big-update-heres-how-it-works/
d0e538a0-e06e-51be-95da-37bd118d651f,7787ea38-d159-5dd9-87c2-0e4f79836427,Yanolja,2025-02-01,Other AI,Participation in OpenAI Operator preview,Yanolja joined OpenAI's Operator research preview as a global launch partner so the agent can book travel and shop on Yanolja.,https://www.yanoljagroup.com/en/press_release/view?id=1465
47b2bc7a-dd34-545e-b5d4-b727177587ab,6b72fa12-27d2-5a3f-b278-bcf2c4f0dff0,MakeMyTrip,2023-06-01,Customer service AI,Gia AI assistant in app,"MakeMyTrip rolled out 'Gia' AI assistant for hotel discovery, leveraging GenAI for natural-language search and customer service.",https://www.passionateinmarketing.com/makemytrip-deepens-ai-first-strategy-with-openai-collaboration/
55f57a16-2905-54bd-9628-9d1aa1a582b3,4420bc80-12ed-531a-8cda-b7eac6a28387,Klook,2024-10-24,Personalization,AI personalization driving +30% conversion,"Klook reported 30% lift in conversion from AI-powered personalization, plus 80% faster content production using Google Cloud GenAI.",https://www.googlecloudpresscorner.com/2024-10-24-Klook-Deepens-Partnership-with-Google-Cloud-to-Enhance-Travel-Experiences-and-Supercharge-Developer-Productivity-with-Generative-AI
0c939031-ad00-56f6-97ba-51695b022671,11295560-66c5-5384-afe6-c98919491751,Airbnb,2025-08-06,Customer service AI,AI agent resolves 40% of inquiries,"Airbnb's AI customer service assistant reached 40%+ resolution rate without human handoff, up from one-third the prior quarter.",https://www.customerexperiencedive.com/news/airbnb-ai-assistant-resolves-customer-inquiries/819734/
1f7cae6b-ec0f-51ed-a845-e2f357dd0b7c,55cb4629-328b-5a3d-b907-7d7f51740deb,Booking Holdings,2025-02-19,Customer service AI,AI cuts customer service cost 10%,Booking Holdings CFO disclosed AI-driven customer service tooling reduced cost-per-reservation ~10% while bookings grew.,https://www.cfodive.com/news/booking-uses-ai-to-slash-customer-service-costs-cfo-says/812624/
